French,English
apparent,apparent
enfuir,escape
assistant,assistant
portion,portion
allocation,allocation
spéculation,speculation
décéder,die
serré,tight
enquêter,investigate
dix-sept,seventeen
allonger,lengthen
chauffeur,driver
prospérité,prosperity
ambiguïté,ambiguity
bourgeois,bourgeois
touristique,sightseeing
obscur,obscure
cou,neck
invention,invention
boucle,loop
flou,blurry
redire,repeat
consultatif,consultative
torturer,torture
carton,cardboard
effrayer,scare
pitié,pity
complexité,complexity
favori,favorite
noyau,core
brandir,brandish
repenser,rethink
timide,shy
audition,hearing
comptabilité,accounting
précaire,precarious
trône,throne
insulter,insult
saut,jump
amende,fine
différemment,differently
programmation,programming
crédible,credible
justification,justification
conservation,conservation
transit,transit
organisateur,organizer
galerie,gallery
aménagement,planning
manifestant,demonstrator
char,tank
criminalité,crime
masquer,hide
masque,mask
dorénavant,from now on
festival,festival
prôner,advocate
radicalement,radically
franchise,franchise
ultérieur,ulterior
expédier,dispatch
axer,focus
propager,propagate
rectifier,rectify
tennis,tennis
avenue,avenue
vengeance,revenge
émouvoir,move
hé,hey
génial,great
réduit,reduced
alléger,alleviate
vierge,virgin
meuble,furniture
rapprochement,reconciliation
confession,confession
suspens,suspense
dégradation,degradation
vingtième,twentieth
agenda,diary
grand-mère,grandmother
phare,lighthouse
virtuel,virtual
gagnant,winner
nettoyer,to clean
diagnostic,diagnostic
poing,fist
étiquette,label
tante,aunt
chemise,shirt
pile,pile
kilo,kilo
citoyenneté,citizenship
douceur,candy
attester,attest
attraper,to catch
prestigieux,prestigious
ruiner,ruin
croix,cross
nullement,in any way
incorporer,to incorporate
débloquer,unlock
ficher,file
censure,censorship
linguistique,linguistic
accompli,accomplished
terriblement,terribly
main-d'œuvre,workforce
invasion,invasion
orange,orange
jury,jury
bœuf,beef
rallier,rally
roue,wheel
barrer,bar
réaffirmer,reaffirm
assigner,assign
souhaitable,desirable
soupçon,suspicion
constat,report
communisme,communism
dynamisme,dynamism
flagrant,blatant
paire,pair
loup,wolf
concerter,to consult
désespérer,to despair
subit,sudden
diplomate,diplomat
joue,play
essuyer,wipe
exporter,export
étaler,spread out
reconduire,renew
handicap,handicap
bonsoir,good evening
casque,helmet
autrui,others
bousculer,rush
ériger,erect
conversion,conversion
patte,paw
planifier,to plan
transitoire,transient
tardif,late
prédécesseur,predecessor
natal,native
humour,humor
défaillance,failure
hélas,alas
cabine,cabin
fardeau,burden
héritier,heir
apport,bring
remboursement,repayment
échelon,level
fondre,to melt
occurrence,occurrence
authentique,authentic
attentivement,careful
irlandais,irish
confortable,comfortable
au-dessous,below
fonctionnel,functional
panne,breakdown
adieu,goodbye
entre-temps,meanwhile
insérer,insert
confrère,colleague
litre,liter
suivi,followed
variation,variation
productif,productive
groupement,group
modernisation,modernization
déploiement,deployment
impuissant,powerless
restauration,restoration
haïr,hate
marée,tide
souscrire,subscribe
diable,devil
suffrage,vote
spontané,spontaneous
joyeux,joyful
concilier,conciliate
tristesse,sadness
asile,asylum
sombrer,sink
photographe,photographer
libanais,lebanese
archives,archives
honteux,ashamed
rapporteur,rapporteur
dix-neuvième,nineteenth
indemnisation,compensation
harceler,harass
leadership,leadership
cahier,notebook
portable,portable
précoce,early
qualification,qualification
insulte,insult
planer,hover
stage,traineeship
dédier,dedicate
carrément,downright
exil,exile
artisan,artisan
rassurant,reassuring
remède,remedy
composant,making up
économiquement,economically
hurler,to yell
yen,yen
gras,bold
médiatique,media
statue,statue
frappe,struck
industrialiser,industrialize
efficacement,effectively
golfe,gulf
ambiance,vibe
coopérer,cooperate
bus,bus
septième,seventh
façade,facade
charmant,charming
marginal,marginal
comptable,accounting
isolement,isolation
modérer,moderate
volant,flying
porc,pork
appartenance,membership
émeute,riot
constructif,constructive
minime,minimal
ralentissement,slow-down
mobilisation,mobilization
tâcher,stain
racisme,racism
mairie,city ​​hall
aptitude,aptitude
fumée,smoke
sauvetage,rescue
récession,recession
convaincant,convincing
sou,soup
analyste,analyst
prétendu,alleged
grossier,rude
ignorance,ignoring
pervers,pervert
sensiblement,significantly
léguer,bequeath
prélever,take
noyer,walnut
abbé,abbe
détecter,detect
capter,capture
sceptique,skeptical
vôtre,your
problématique,problem
voiler,to veil
nationalité,nationality
serment,oath
envoler,flourish
pasteur,pastor
activer,enable
chimie,chemistry
erroné,wrong
fantôme,phantom
naviguer,navigate
yougoslave,yugoslav
explicitement,explicitly
alerter,to alert
vigilance,vigilance
rock,rock
réconciliation,reconciliation
revers,reverse
aviation,aviation
souplesse,flexibility
respectueux,respectful
trahison,treason
débit,debit
sursis,reprieve
simultanément,simultaneously
techniquement,technically
os,bone
cote,rating
dictionnaire,dictionary
symptôme,symptom
délibérément,deliberately
écoute,listen
contingent,quota
émerger,emerge
instruire,instruct
équité,equity
inconscient,unconscious
chaleureux,warm
déguiser,to disguise
fièvre,fever
vitre,window
fantastique,fantastic
courbe,curve
soustraire,to subtract
instable,unstable
vapeur,steam
beurre,butter
monument,monument
oral,oral
téléviser,televise
consolider,consolidate
muet,mute
contrevenant,offender
offensive,offensive
routine,routine
coder,cod
gel,freeze
rénovation,renovation
controverse,controversial
médiocre,poor
filial,filial
relais,relay
opposant,opponent
aval,downstream
rubrique,section
préfet,prefect
provocation,provocation
sommaire,summary
versant,slope
réticence,reluctance
grossesse,pregnancy
égyptien,egyptian
timbre,stamp
découper,cut
distributeur,distributer
élargissement,enlargement
dégrader,degrade
colonial,colonial
pourparler,to talk
incidence,impact
béton,concrete
fiable,reliable
génocide,genocide
vingt-quatre,twenty four
épouvantable,appalling
indifférent,indifferent
audacieux,bold
poudre,powder
teneur,content
inverser,reverse
naval,naval
dérive,derivative
mécontent,unhappy
vocabulaire,vocabulary
stabiliser,stabilize
délégué,delegate
centrer,center
algérien,algerian
sympathique,friendly
alentour,surrounding
corrompre,to bribe
commerçant,trader
poitrine,chest
couronner,crown
relire,reread
perpétuer,perpetuate
doctrine,doctrine
compétitif,competitive
majesté,majesty
mouton,sheep
indifférence,indifference
omettre,omit
typique,typical
concurrentiel,competitive
désarmement,disarmament
quotidiennement,daily
architecture,architecture
éventualité,eventuality
massacrer,massacre
réciproque,reciprocal
état-major,staff
attarder,dwell
englober,encompass
grossir,get fat
séparatiste,separatist
surcroît,additional
sortant,outgoing
plomb,lead
gorge,throat
nationaliste,nationalist
exportateur,exporter
montre,show
ratifier,ratify
exploit,feat
encourageant,encouraging
climatique,climate
aviser,notify
épidémie,epidemic
alarme,alarm
parier,to bet
écologique,ecological
lunette,glasses
entourage,entourage
sphère,sphere
confidentiel,confidential
sanctionner,sanction
recrutement,recruitment
détendre,loosen
aisé,easy
toilette,toilet
autobus,bus
défavoriser,disadvantage
résistant,resistant
admiration,admiration
acide,acid
banal,trivial
poulet,chicken
pêcher,to fish
brigade,brigade
trembler,to shiver
reçu,received
civiliser,civilize
relance,relaunch
dose,dose
loyer,rent
distorsion,distortion
octroyer,grant
arrivant,arrival
standard,standard
taxi,taxi
limitation,limitation
irréversible,irreversible
fatal,fatal
furieux,furious
verbal,verbal
contacter,contact
commissariat,police station
gai,cheerful
confrontation,confrontation
chier,take a dump
atlantique,atlantic
rude,harsh
panneau,sign
appréciation,appreciation
réflexe,reflex
complément,complement
initialement,initially
comédien,actor
successeur,successor
méfiance,mistrust
replier,fold up
vérificateur,verifier
dictateur,dictator
prétention,pretension
rédacteur,editor
avaler,swallow
extraction,extraction
banquier,banker
titulaire,incumbent
stabilisation,stabilization
mutuellement,mutually
légion,legion
lacune,gap
engin,machine
mépriser,despise
minoritaire,minority
idéologique,ideological
cloche,bell
compatriote,compatriot
affection,affection
sel,salt
majoritaire,majority
redressement,recovery
paradoxe,paradox
chiffrer,quantify
catastrophique,catastrophic
magistrat,magistrate
extrait,extract
amant,lover
farce,prank call
compétitivité,competitiveness
enthousiaste,enthusiastic
quarantaine,quarantine
sous-sol,basement
rat,rat
flot,flood
mordre,to bite
partiellement,partially
radioactif,radioactive
passe,pass
indépendamment,independently
location,lease
naïf,naive
retraité,retirement
innocence,innocence
bijou,jewel
messe,mass
coïncidence,coincidence
torture,torture
protecteur,protective
rayonnement,influence
récolte,harvest
valise,suitcase
danseur,dancer
expertise,expertise
minier,mining
vitrine,showcase
ébranler,shake up
crâne,skull
anéantir,destroy
vocal,vocal
unilatéral,unilateral
combustible,combustible
économiser,save
tisser,weave
poule,chicken
punition,punishment
hésitation,hesitation
rentable,profitable
loyal,loyal
renfort,reinforcement
cohérence,consistency
souris,mouse
bombarder,bomb
éveiller,awake
semestre,semester
croyant,believer
réalisateur,director
brutalement,brutally
lourdement,heavily
tente,attempted
goutte,drop
poussée,push
moine,monk
modéré,moderate
négligeable,negligible
vice,vice
symboliser,symbolize
substituer,substitute
subtil,subtle
commandant,commanding officer
chuter,drop
fidélité,loyalty
basculer,to toggle
gestionnaire,administrator
redoutable,formidable
immigrant,immigrant
polémique,controversy
alourdir,to become heavier
avancée,advanced
sévir,rage
jumeau,twin
piéger,trap
confiant,confident
pendre,hang
intact,intact
rapidité,speed
localité,locality
récupération,recovery
vigoureux,vigorous
rentabilité,profitability
delà,of the
incliner,tilt
affreux,awful
révolter,revolt
conte,tale
évasion,escape
repère,benchmark
philosophique,philosophical
arrivé,come
ironie,irony
serveur,waiter
bannir,banish
insuffisance,insufficiency
librairie,library
parenthèse,parenthesis
miser,stake
stupéfiant,amazing
boursier,scholarship holder
levée,lifting
déformer,deform
menaçant,threatening
nord-est,northeast
substitution,substitution
parer,adorn
avantageux,advantageous
handicaper,handicap
filmer,film
délinquant,offender
perdant,losing
altitude,altitude
imputer,impute
plaisanter,to joke
poétique,poetic
desservir,serve
mensuel,monthly
connerie,bullshit
sanglant,bloody
coude,elbow
ôter,to remove
report,postponement
créature,creature
aucunement,in any way
globalement,globally
convenable,suitable
itinéraire,itinerary
purger,purge
fâcher,be angry
repasser,go back
alternatif,alternative
palier,landing
prochainement,shortly
réglementaire,regulatory
costume,suit
thérapie,therapy
reproche,reproach
curé,priest
contrôleur,controller
soulagement,relief
dissoudre,dissolve
avalanche,avalanche
mark,mark
brèche,breach
incitation,incentive
entraîneur,coach
éditorial,editorial
conjugal,conjugal
pâle,pale
relâcher,to release
visa,visa
vingt-cinq,twenty five
péché,fishing
gendarme,gendarme
sécheresse,drought
score,score
goûter,to taste
renier,deny
juridiction,jurisdiction
prostitution,prostitution
fiche,form
déséquilibre,imbalance
probabilité,probability
entraver,hinder
sous-estimer,underestimate
embargo,embargo
interdit,prohibited
brouillard,fog
syrien,syrian
jet,jet
trêve,truce
occupant,occupant
ponctuel,punctual
défini,defined
détachement,detachment
manuscrit,manuscript
panier,basket
bouton,button
immobile,motionless
fermeté,firmness
véhiculer,convey
répliquer,reply
passionnant,exciting
théologie,theology
advenir,advertise
immigrer,immigrate
tache,stain
tendresse,tenderness
privilégié,privileged
slogan,slogan
fromage,cheese
toxique,toxic
incapacité,inability
pharmaceutique,pharmaceutical
parfum,scent
antique,antique
controversé,controversial
instinct,instinct
barreau,bar
insupportable,insupportable
opportun,appropriate
parquet,parquet
navigation,navigation
contrarier,contradict
nouer,tie
frustration,frustration
cinquantaine,fifty
improviser,improvise
désespéré,desperate
auto,car
troupeau,herd
gendarmerie,gendarmerie
génétiquement,genetically
analogue,similar
venu,came
ironique,ironic
sanitaire,sanitary
sonore,sound
initier,initiate
mœurs,manners
cessez-le-feu,ceasefire
bénévole,volunteer
boue,mud
empereur,emperor
dissiper,dispel
déclin,decline
liquider,liquidate
maintenance,maintenance
prévisible,predictable
pneu,tire
fraude,fraud
coton,cotton
entrevoir,glimpse
stipuler,to stipulate
remédier,remedy
flotter,float
fraction,fraction
impossibilité,impossibility
conditionnel,conditional
nuance,shade
improbable,unlikely
enquêteur,investigator
conjointement,jointly
éclaircir,lighten
bordel,mess
impatient,eager
versement,payment
bosser,work
articuler,articulate
successivement,successively
assurément,certainly
provision,provision
amplifier,amplify
ceinture,belt
intergouvernemental,intergovernmental
délibération,deliberation
mexicain,mexican
seigneur,lord
saisonnier,seasonal
souterrain,underground
merveille,wonder
restituer,restore
démon,devil
balancer,swing
disponibilité,availablity
infiniment,infinitely
acquis,acquired
récepteur,receiver
glissement,sliding
auditeur,listener
indigène,native
chocolat,chocolate
indirectement,indirectly
obtention,obtaining
grandissant,growing
chagrin,sorrow
prostitué,prostitute
lumineux,luminous
soupe,soup
bravo,well done
appréhender,apprehend
concitoyen,fellow citizen
flèche,arrow
libéralisation,liberalization
complot,conspiracy
signataire,signatory
ski,ski
douanier,customs officer
syndrome,syndrome
météo,weather report
borner,limit
triompher,triumph
concrétiser,shape
soumission,submission
continuellement,continually
dérober,to steal
romancier,novelist
sorcier,wizard
consigne,order
harmonie,harmony
blond,blond
pleuvoir,rain
déplaire,displease
innombrable,innumerable
félicitation,congratulations
inédit,unpublished
lance,spear
désireux,eager
diversifier,to diversify
vélo,bike
fatigue,fatigue
instabilité,instability
pénaliser,penalize
comte,county
amer,bitter
orchestre,orchestra
foncier,land
dixième,tenth
est,is
envelopper,wrap
troublant,disturbing
irrégulier,irregular
fouet,whip
baigner,bathe
fixation,fixation
encadrement,framing
déménager,to relocate
esthétique,aesthetic
photographier,photograph
insensé,foolish
moderniser,modernize
expérimental,experimental
incomber,fall
retombée,fallout
équivaloir,equal
différencier,differentiate
éventail,range
solde,balance
gâcher,spoil
régiment,regiment
chiite,shiite
bouleversement,upheaval
relater,to relate
décent,decent
éminent,prominent
instituteur,teacher
rayer,scratch
concrètement,concretely
coulisse,slide
enchaîner,chain
ratification,ratification
emplacement,location
copier,to copy
inculper,charge
renouveau,renewal
néerlandais,dutch
intégral,integral
spécification,specification
documentation,documentation
logiquement,logically
spectre,spectrum
harmoniser,harmonize
suédois,swedish
rouvrir,reopen
débouché,outlaw
croisé,cross
fléau,scourge
traversée,crossing
solaire,solar
secrétariat,secretariat
mou,soft
venger,revenge
détenteur,holder
basque,basque
soif,thirst
accumulation,accumulation
autoritaire,authoritarian
essor,boom
obséder,obsess
intolérable,intolerable
rébellion,rebellion
préventif,preventive
désignation,designation
aimable,friendly
conformité,compliance
pantalon,trousers
anormal,unnatural
inhérent,inherent
réconcilier,reconcile
réservoir,tank
aveu,admission
emmerder,piss off
inondation,flood
câble,cable
poumon,lung
humble,humble
perturbation,disturbance
brouiller,muddle
illustration,drawing
appliqué,applied
fermier,farmer
hanter,haunt
cordon,cord
néfaste,harmful
lasser,plow
influer,to influence
présentement,presently
plate-forme,platform
stopper,stop
kurde,kurdish
amusant,fun
tremblement,trembling
rail,rail
fondamentalement,fundamentally
lampe,lamp
triple,triple
inchangé,unchanged
supplier,to beg
multiplication,multiplication
camoufler,camouflage
cliché,cliche
diamant,diamond
guerrier,warrior
figer,freeze
comique,comical
planification,planning
éloge,praise
regroupement,grouping
odieux,odious
désastreux,disastrous
nocturne,nocturnal
configuration,configuration
escompter,discount
intensif,intensive
scepticisme,skepticism
croisière,cruise
plénier,plenary
athlète,athlete
poil,hair
épanouir,flourish
minimiser,minimize
inévitablement,inevitably
informé,informed
islam,islam
échéant,appraise
murmurer,whisper
implantation,implementation
décerner,award
replacer,replace
vêtir,dress
trottoir,curb
vieillard,old man
fillette,girl
enchanter,enchant
singe,monkey
superficiel,superficial
rigide,rigid
démographique,demographic
fourniture,supply
taxer,tax
milice,militia
foire,fair
élégant,elegant
crème,cream
mentalité,mentality
charité,charity
borne,thick headed
organique,organic
dévouer,devote
hâter,hasten
mobilité,mobility
exclu,excluded
boucher,butcher
bénéfique,beneficial
commencement,beginning
licenciement,dismissal
chancelier,chancellor
retenue,detention
visée,target
dénonciation,denunciation
plaie,wound
exiler,exile
rocher,rock
mortalité,mortality
cruauté,cruelty
regrettable,regrettable
droguer,drug
connecter,connect
confort,comfort
compréhensible,understandable
tube,tube
coffre,chest
intimider,intimidate
huitième,eighth
forger,to forge
périr,perish
notoire,notorious
graphique,chart
annulation,cancelation
acceptation,acceptance
textile,textile
hormis,apart from
chirurgien,surgeon
orage,thunderstorm
boule,ball
médiation,mediation
réprimer,repress
hall,lobby
visuel,visual
semblant,semblance
jadis,in the past
rémunérer,remunerate
fasciner,fascinate
dilemme,dilemma
progressiste,progressive
ours,bear
décharger,discharge
excéder,exceed
blâmer,blame
duc,duke
raciste,racist
stress,stress
inexistant,non -existent
théoriquement,theoretically
danois,danish
concéder,grant
retrancher,entrench
renfermer,enclose
vieillesse,old age
navette,shuttle bus
traditionnellement,traditionally
batterie,battery
foie,liver
gratuitement,free
incompréhensible,incomprehensible
détour,detour
boulevard,boulevard
blague,joke
mécontentement,dissatisfaction
inaugurer,inaugurate
repli,fold
contrepartie,counterpart
proportionnel,proportional
aboutissement,culmination
triomphe,triumph
libre-échange,free exchange
sincérité,sincerity
serre,tight
doré,golden
convoi,convoy
terrien,landing
psychologie,psychology
maltraiter,mistreat
puits,well
intimité,privacy
équation,equation
humide,wet
bétail,cattle
prophète,prophet
micro,microphone
gâteau,cake
continental,continental
réitérer,to reiterate
énumérer,enumerate
embauche,hiring
verdict,verdict
dix-neuf,nineteen
guetter,watch
frustrer,frustrate
anglo-saxon,anglo-saxon
détente,relaxation
questionner,to question
injecter,inject
préjudice,harm
couramment,fluently
exploration,exploration
caresser,caress
hymne,anthem
sécuritaire,secure
famine,famine
écrier,crumble
précipitation,precipitation
caution,bail
affectation,assignment
salaud,bastard
cave,cellar
bond,jump
enclin,prone
nettoyage,cleaning
foudre,lightning
justesse,accuracy
rente,annuity
hépatite,hepatitis
blindé,armored
clan,clan
accélération,acceleration
garage,garage
résolument,resolutely
négociateur,negotiator
romantique,romantic
obscurité,darkness
vulgaire,vulgar
soixante-dix,seventy
féroce,fierce
perpétuel,perpetual
militer,campaign
jungle,jungle
case,box
craquer,crack
clarifier,clarify
crête,crete
traite,treaty
démarrage,startup
oubli,oversight
procès-verbal,minutes
formalité,formality
insensible,insensitive
distant,distant
émetteur,transmitter
montage,assembly
énergique,energetic
claquer,slam
simplicité,simplicity
buter,abut
bulle,bubble
défavorable,unfavorable
promoteur,promoter
albanais,albanian
obsession,obsession
exciter,excite
voisinage,neighborhood
savoir-faire,know how
sévèrement,severely
écrasant,crushing
vendu,sold
munition,ammunition
capturer,capture
compliment,compliment
allouer,allocate
scandaliser,scandalize
cassette,cassette
résident,resident
empresser,stack
inonder,flood
réglementer,regulate
sonder,probe
vigilant,vigilant
rhétorique,rhetoric
cage,cage
réglé,rule
téléspectateur,viewer
golf,golf
forestier,forest
hum,hum
ravager,ravage
réveil,awakening
racial,racial
ensuivre,shed
relevé,survey
ajourner,adjourn
détérioration,deterioration
viable,viable
cochon,pig
barbare,barbaric
atroce,atrocious
civique,civic
ancrer,anchor
raccrocher,to hang up
cirque,circus
législature,legislature
audiovisuel,audio-visual
confiner,to confine
agrandir,enlarge
occasionner,cause
allégement,relief
malin,clever
performant,efficient
sérénité,serenity
cuire,bake
raser,to shave
ha,ha
revivre,relive
piano,piano
concertation,concertation
vaisseau,vessel
interaction,interaction
pessimiste,pessimistic
sillage,wake
synonyme,synonymous
hisser,hoist
agréer,accredit
comble,height
bosniaque,bosnian
insignifiant,insignificant
décoller,to take off
solidaire,united
ferroviaire,railway
dépouiller,strip
céréale,cereal
aménager,arrange
agitation,hustle
exode,exodus
aire,area
orgueil,pride
socialisme,socialism
harmonisation,harmonization
provisoirement,temporarily
cocktail,cocktail
moyenne,mean
rigoler,to laugh
compression,compression
réfléchi,reflexive
expérimenter,experiment
détériorer,deteriorate
exprès,on purpose
écrouler,collapse
